Gender,Smoker,Q13,Q16
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Disagree
F,Non-smoker,Agree,Agree
F,Smoker,Agree,Disagree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Smoker,Agree,Agree
F,Smoker,Agree,Disagree
M,Non-smoker,Disagree,Disagree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Smoker,Disagree,Agree
F,Smoker,Agree,Agree
M,Smoker,Agree,Disagree
M,Non-smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Disagree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Smoker,Disagree,Disagree
M,Smoker,Disagree,Disagree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
F,Non-smoker,Disagree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Smoker,Disagree,Disagree
M,Smoker,Disagree,Disagree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Smoker,Disagree,Disagree
F,Smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
F,Smoker,Disagree,Disagree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Smoker,Disagree,Disagree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Smoker,Agree,Disagree
F,Non-smoker,Agree,Agree
F,Smoker,Disagree,Agree
F,Smoker,Agree,Agree
F,Smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Non-smoker,Agree,Agree
M,Non-smoker,Agree,Agree
M,Smoker,Disagree,Agree
M,Non-smoker,Agree,Agree
M,Smoker,Agree,Agree
M,Smoker,Disagree,Disagree
F,Smoker,Agree,Agree
F,Non-smoker,Agree,Agree
F,Smoker,Agree,Agree
M,Non-smoker,Agree,Agree
F,Smoker,Disagree,Disagree
F,Non-smoker,Agree,Agree
M,Smoker,Agree,Agree
F,Smoker,Disagree,Disagree
M,Smoker,Agree,Agree
M,Smoker,Disagree,Disagree
