outlook,performance
negative ,good
negative ,good
negative ,good
negative ,good
negative ,good
negative ,bad
negative ,good
negative ,good
negative ,good
negative ,good
negative ,good
positive,bad
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
negative ,good
negative ,good
negative ,bad
negative ,good
negative ,bad
negative ,good
negative ,bad
negative ,good
negative ,good
negative ,good
negative ,good
negative ,bad
negative ,good
negative ,good
negative ,good
negative ,good
negative ,good
negative ,good
negative ,bad
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,good
positive,bad
positive,good
positive,good
positive,good
positive,good
positive,good
negative ,bad
negative ,good
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,good
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
negative ,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
positive,bad
